;Location;Price;Rooms;WCs;Net Floor Area (m2);Gross Private Area (m2);Parking;Floor;Energy Performance Certificate;Elevator_Not available;Capital;Metropolitan Areas;Large cities;Median Age;Coastal Locations
1871;Repeses e São Salvador, Viseu;220.000;1.0;1.0;99.0;149.0;1.0;1.0;Energy Performance Certificate;False;False;False;False;46,9;False
1872;Avenidas Novas, Lisboa;529.000;3.0;1.0;84.0;100.0;;;Not available;True;True;True;True;44,8;False
1873;Freixieiro, Matosinhos;395.000;3.0;2.0;132.0;162.0;2.0;2.0;Energy Performance Certificate;False;False;True;False;47,5;False
1874;Lousã e Vilarinho, Coimbra;247.000;4.0;3.0;193.0;250.0;1.0;2.0;Energy Performance Certificate;False;False;False;True;48,3;False
1875;Lousã e Vilarinho, Coimbra;236.500;4.0;4.0;192.0;297.0;1.0;2.0;Energy Performance Certificate;False;False;False;True;48,3;False
1876;Lousã e Vilarinho, Coimbra;178.500;3.0;2.0;126.0;153.0;1.0;0.0;Energy Performance Certificate;False;False;False;True;48,3;False
1877;Verdemilho, Aveiro;305.000;3.0;2.0;137.0;151.0;1.0;2.0;Not available;True;False;False;False;45,5;True
1878;Marvila, Lisboa;520.000;4.0;2.0;100.0;115.0;2.0;1.0;Not available;True;True;True;True;44,8;False
1879;Massamá 6ª Fase, Sintra;250.000;2.0;2.0;96.0;103.0;;;Not available;True;False;False;False;43,7;False
1880;Seixal, Arrentela e Aldeia de Paio Pires, Setúbal;138.500;2.0;1.0;60.0;77.0;;;Not available;True;False;True;True;44,9;False
1881;Centro / Alfredo da Silva, Barreiro;248.500;3.0;3.0;99.0;99.0;;;Not available;True;False;False;False;47;False
1882;Seixal, Arrentela e Aldeia de Paio Pires, Setúbal;Under Consultation;2.0;1.0;48.0;48.0;;;Not available;True;False;True;True;44,9;False
